Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Affe,der,-n,noun,monkey/ape,বানর,,,,,
Bär,der,-en,noun,bear,ভাল্লুক,,,,,
Biene,die,-n,noun,bee,মৌমাছি,,,,,
Elefant,der,-en,noun,elephant,হাতি,,,,,
Ente,die,-n,noun,duck,হাঁস,,,,,
Fisch,der,-e,noun,fish,মাছ,,,,,
Fliege,die,-n,noun,fly,মাছি,,,,,
Giraffe,die,-n,noun,giraffe,জিরাফ,,,,,
Hase,der,-n,noun,hare/rabbit,খরগোশ,,,,,
Hund,der,-e,noun,dog,কুকুর,,,,,
Insekt,das,-en,noun,insect,পোকামাকড়,,,,,
Katze,die,-n,noun,cat,বিড়াল,,,,,
Krokodil,das,-e,noun,crocodile,কুমির,,,,,
Kuh,die,-“e ,noun,cow,গরু,,,,,
Löwe,der,-n,noun,lion,সিংহ,,,,,
Maus,die,-“e ,noun,mouse,ইঁদুর,,,,,
Mücke,die,-n,noun,mosquito,মশা,,,,,
Pferd,das,-e,noun,horse,ঘোড়া,,,,,
Pinguin,der,-e,noun,penguin,পেঙ্গুইন,,,,,
Schaf,das,-e,noun,sheep,ভেড়া,,,,,
Schildkröte,die,-n,noun,turtle/tortoise,কচ্ছপ,,,,,
Schlange,die,-n,noun,snake,সাপ,,,,,
Schwein,das,-e,noun,pig,শূকর,,,,,
Vogel,der,-“ ,noun,bird,পাখি,,,,,
